sp,min,max,discrete
Vampyroteuthis_infernalis,600,1200,N
Stauroteuthis_gilchristi,0,2561,N
Opisthoteuthis_massyae,226,450,D1
Haliphron_atlanticus,100,700,D2
Tremoctopus_violaceus,0,250,D1
Argonauta_argo,0,300,P,
Argonauta_nodosus,0,300,P
Argonauta_hians,0,300,P
Aphrodoctopus_schultzei,0,20,E
Eledone_cirrhosa,5,500,D2
Eledone_moschata,10,300,D1
Octopus_californicus,100,900,D2
Muusoctopus_januarii,350,750,D2
Enteroctopus_megalocyathus,5,25,E
Enteroctopus_dofleini,0,1500,N
Octopus_conispadiceus,50,100,E
Muusoctopus_longibrachus,147,377,D1
Muusoctopus_eureka,30,500,D2
Bathypolypus_arcticus,20,1200,N
Bathypolypus_sponsalis,930,1250,N
Vitreledonella_richardi,0,1000,N
Bolitaena_pygmaea,100,1400,N
Japetella_diaphana,200,1000,N
Adelieledone_piatkowski,612,1510,N
Megaleledone_setebos,32,850,N
Parelene_felix,200,800,D2
Pareledone_subtilis,190,427,D1
Thaumeledone_peninsulae,377,512,D2
Thaumeledone_gunteri,365,965,N
Graneledone_verrucosa,850,2300,N
Graneledone_challengeri,766,1500,N
Robsonella_fontanianus,0,200,D1
Scaeurgus_unicirrhus,50,500,D2
Callistoctopus_macropus,0,82,E
Hapalochlaena_fasciata,0,20,E
Hapalochlaena_maculosa,0,50,E
Amphioctopus_rex,0,80,E
Amphioctopus_neglectus,20,89,E
Cistopus_indicus,0,50,E
Cistopus_taiwanicus,10,75,E
Abdopus_aculeatus,0,17,E
Macrotritopus_defilippi,0,200,D1
Octopus_vugaris,3,20,E
Pteroctopus_tetracirrhus,25,720,D2